id,normalized_desc,category,created_at
1,pizza,food,2025-11-28 17:35:19.598472+00
2,winkel,shopping,2025-11-28 19:10:09.269483+00
3,hotel,accommodation,2025-11-28 19:10:34.50547+00
4,voetbalmatch,activities,2025-11-28 19:20:59.664403+00
5,tank auto,transport,2025-11-29 15:16:27.921848+00
6,treinticket,transport,2025-11-29 15:20:29.757542+00
7,tanken auto,transport,2025-11-29 15:21:11.951007+00
8,benzine,transport,2025-11-29 15:36:57.492415+00
9,hamburgers,food,2025-11-29 20:06:05.971848+00
10,pitta,food,2025-11-29 20:36:39.870474+00
11,shopping center,shopping,2025-11-29 23:27:29.89586+00
12,parking,transport,2025-11-30 12:07:14.056686+00
13,baseballmatch,activities,2025-11-30 20:38:56.769892+00
14,frieten,food,2025-11-30 20:40:04.782146+00
15,biertjes rune,shopping,2025-11-30 20:40:23.205221+00
16,ticket voetbal,activities,2025-11-30 20:45:55.804563+00
17,taart,activities,2025-11-30 20:52:03.981861+00
18,restaurant,food,2025-11-30 22:29:05.873163+00
19,restaurant1,food,2025-11-30 23:20:07.543582+00
20,trein,transport,2025-12-01 12:05:00.560124+00
21,boek,activities,2025-12-01 12:11:03.334169+00
22,treintickets,transport,2025-12-01 16:56:41.102111+00
23,cheeseburgers,food,2025-12-03 18:39:53.109876+00
24,eten test,food,2025-12-06 20:07:25.800246+00
25,pils,activities,2025-12-07 22:45:57.023585+00
26,uitgaan gisterenavond,activities,2025-12-08 21:34:22.113793+00
27,auto,transport,2025-12-08 21:47:19.476585+00
28,meat restaurant,food,2025-12-08 22:13:49.299278+00
29,nieuwe behandeltafel,shopping,2025-12-09 20:38:15.249989+00
30,treatment,activities,2025-12-12 13:50:22.88003+00
31,basketball match,activities,2025-12-15 11:25:04.290638+00
32,hotel amsterdam,accommodation,2025-12-15 11:30:28.146245+00
33,boodschappen amsterdam,shopping,2025-12-15 13:15:17.89044+00
34,voetbalmatch ajax,activities,2025-12-15 13:16:26.770417+00
35,overnachting,accommodation,2025-12-15 16:27:53.129307+00
37,museum,activities,2025-12-15 16:29:41.049205+00
38,hamburger,food,2025-12-15 17:59:25.908445+00
39,naam pizza,food,2025-12-15 18:26:43.390206+00
40,brood,accommodation,2025-12-17 09:32:13.394347+00
41,uitgaven colruyt,shopping,2025-12-17 18:24:11.834911+00
42,vervoer skireis,transport,2025-12-18 11:41:35.132967+00
43,gokken unibet,activities,2025-12-18 11:43:02.927526+00
45,drank,food,2025-12-18 11:44:13.012136+00
46,hotel skireis val tho,accommodation,2025-12-18 11:45:58.383844+00
47,huren ski,activities,2025-12-18 11:47:14.754904+00
48,boodschappen,shopping,2025-12-18 11:54:32.218576+00
49,benzine audi,transport,2025-12-18 11:54:56.72841+00
50,parking sint pietersplein,transport,2025-12-18 11:56:11.118257+00
51,betaal niets,shopping,2025-12-18 11:56:52.971864+00
52,bestelling werk,transport,2025-12-18 11:57:57.382223+00
