share_id,group_id,user_id,expense_id,amount,created_at,is_active
5,12,18,10,2,2025-11-25 09:59:01.734731+00,true
10,9,14,14,150,2025-11-26 09:57:47.372862+00,true
11,13,18,15,1,2025-11-26 10:22:10.672954+00,true
12,13,11,15,1,2025-11-26 10:22:10.672999+00,true
23,12,18,21,10,2025-11-26 23:25:14.249701+00,true
24,12,14,21,10,2025-11-26 23:25:14.249701+00,true
25,12,18,22,10,2025-11-26 23:31:59.311101+00,true
26,12,14,22,10,2025-11-26 23:31:59.311101+00,true
27,12,18,23,10,2025-11-26 23:55:55.328159+00,true
28,12,14,23,10,2025-11-26 23:55:55.328159+00,true
29,12,18,24,10,2025-11-27 00:17:45.746251+00,true
30,12,14,24,10,2025-11-27 00:17:45.746251+00,true
31,12,18,25,10,2025-11-27 00:24:13.718358+00,true
32,12,14,25,10,2025-11-27 00:24:13.718358+00,true
33,12,18,26,10,2025-11-27 00:36:26.190143+00,true
34,12,14,26,10,2025-11-27 00:36:26.190143+00,true
35,12,18,27,10,2025-11-27 00:42:17.804977+00,true
36,12,14,27,10,2025-11-27 00:42:17.804977+00,true
37,12,18,28,10,2025-11-27 00:52:23.248948+00,true
38,12,14,28,10,2025-11-27 00:52:23.248948+00,true
39,12,18,29,10,2025-11-27 00:58:39.518989+00,true
40,12,14,29,10,2025-11-27 00:58:39.518989+00,true
41,12,18,30,10,2025-11-27 07:35:35.68965+00,true
42,12,14,30,10,2025-11-27 07:35:35.68965+00,true
43,12,18,31,10,2025-11-27 09:07:52.145756+00,true
44,12,14,31,10,2025-11-27 09:07:52.145756+00,true
45,13,18,32,500,2025-11-27 14:03:49.079583+00,true
46,13,11,32,500,2025-11-27 14:03:49.07965+00,true
47,12,18,33,7.5,2025-11-28 10:50:44.01403+00,true
48,12,14,33,7.5,2025-11-28 10:50:44.01403+00,true
49,12,18,34,5,2025-11-28 11:06:11.578791+00,true
50,12,14,34,5,2025-11-28 11:06:11.578791+00,true
51,12,18,35,2.5,2025-11-28 11:20:36.387429+00,true
52,12,14,35,2.5,2025-11-28 11:20:36.387429+00,true
53,12,18,36,1,2025-11-28 11:22:35.496098+00,true
54,12,14,36,1,2025-11-28 11:22:35.496098+00,true
55,12,18,37,5.5,2025-11-28 11:30:20.06042+00,true
56,12,14,37,5.5,2025-11-28 11:30:20.06042+00,true
57,12,18,38,11.5,2025-11-28 11:54:35.537866+00,true
58,12,14,38,11.5,2025-11-28 11:54:35.537866+00,true
59,12,18,39,2.5,2025-11-28 12:00:29.435333+00,true
