created_at,group_id,user_id,role
2025-11-13 15:44:02.12215+00,6,10,member
2025-11-13 15:40:37.82769+00,6,11,member
2025-11-13 16:35:45.476+00,6,12,member
2025-11-13 20:11:31.027649+00,6,13,member
2025-11-13 20:29:59.601216+00,7,14,member
2025-11-14 22:48:31.883174+00,8,18,member
2025-11-16 22:16:44.881615+00,9,14,member
2025-11-15 22:53:46.822955+00,9,18,member
2025-11-16 22:06:38.262496+00,10,14,member
2025-11-16 22:22:45.265215+00,10,18,member
2025-11-24 23:08:08.199519+00,11,18,member
2025-11-25 10:00:34.717164+00,12,14,member
2025-11-25 09:59:01.007166+00,12,18,member
2025-11-26 10:22:10.227244+00,13,11,member
2025-11-25 10:29:12.795345+00,13,18,member
2025-11-25 10:30:32.349795+00,14,18,member
2025-11-25 12:59:03.686328+00,15,18,member
2025-11-29 20:05:11.593093+00,16,12,member
2025-11-29 15:34:48.582955+00,16,14,member
2025-11-29 15:35:41.654182+00,16,18,member
2025-11-29 21:31:40.170102+00,16,32,member
2025-12-15 11:29:19.243378+00,16,33,member
2025-12-02 21:19:56.928589+00,16,37,member
2025-11-29 21:27:20.588553+00,17,18,member
2025-11-29 21:31:06.406343+00,18,32,member
2025-12-08 21:33:32.612244+00,19,11,member
2025-11-30 20:38:10.489821+00,19,18,member
2025-11-30 20:35:23.113609+00,19,33,member
2025-11-30 20:49:19.714959+00,20,34,member
2025-11-30 20:51:20.13232+00,21,14,member
2025-11-30 20:50:36.175057+00,21,34,member
2025-12-01 12:04:02.190326+00,22,14,member
2025-12-01 12:03:34.539484+00,22,34,member
2025-12-01 12:10:22.517893+00,23,14,member
2025-12-01 12:10:37.64074+00,23,34,member
2025-12-07 22:41:40.599112+00,24,38,member
2025-12-08 22:28:41.078699+00,25,18,member
2025-12-09 20:40:50.92798+00,26,33,member
2025-12-09 20:37:43.097893+00,26,39,member
2025-12-09 20:39:22.322575+00,26,40,member
2025-12-09 20:42:32.321122+00,26,41,member
2025-12-12 13:48:24.22527+00,26,42,member
2025-12-12 16:54:34.903293+00,27,43,member
2025-12-12 17:19:41.512333+00,27,44,member
2025-12-17 16:48:19.555196+00,27,50,member
2025-12-17 17:04:13.026424+00,27,51,member
2025-12-18 11:37:32.369445+00,28,18,member
2025-12-18 11:37:19.245908+00,28,32,member
2025-12-17 08:56:37.615414+00,28,45,member
2025-12-18 11:38:37.296882+00,28,49,member
2025-12-18 11:40:11.772671+00,28,52,member
2025-12-17 09:31:43.802118+00,29,46,member
2025-12-17 09:34:22.896507+00,29,47,member
2025-12-17 09:36:05.135579+00,29,48,member
2025-12-17 18:23:22.487101+00,30,11,member
2025-12-18 11:51:15.818508+00,31,18,member
2025-12-18 11:52:03.194122+00,31,20,member
2025-12-18 11:50:08.34116+00,31,53,member
2025-12-18 11:53:17.837146+00,31,54,member
