payments_id,created_at,amount,group_id,sender_id,receiver_id,currency,deleted_at,is_active
1,2025-12-02 22:07:54.447249+00,0.4,16,37,32,EUR,,true
2,2025-12-02 22:20:43.213368+00,0.8,16,37,32,EUR,,true
3,2025-12-02 22:27:42.089061+00,0.8,16,18,37,EUR,,true
4,2025-12-02 22:27:57.652319+00,57.43,16,18,32,EUR,,true
5,2025-12-10 15:49:09.683045+00,21,21,14,34,EUR,,true
6,2025-12-11 21:23:51.351905+00,81.5,22,34,14,EUR,,true
7,2025-12-15 13:04:00.732498+00,38.93,16,18,33,EUR,,true
8,2025-12-15 16:16:12.136411+00,208,19,18,33,EUR,,true
9,2025-12-15 16:25:43.592229+00,275,19,18,33,EUR,,true
10,2025-12-15 17:11:53.200096+00,196.67,19,18,33,EUR,,true
11,2025-12-15 17:28:05.496538+00,200,19,18,33,EUR,,true
12,2025-12-15 17:53:12.090948+00,321,19,18,33,EUR,,true
13,2025-12-15 17:58:02.283812+00,250,19,18,33,EUR,,true
14,2025-12-15 18:02:13.531176+00,5,19,18,33,EUR,,true
15,2025-12-15 18:06:55.723821+00,3,19,18,33,EUR,,true
16,2025-12-15 18:22:53.74307+00,337.5,19,18,33,EUR,,true
17,2025-12-15 18:33:19.729713+00,128,19,18,33,EUR,,true
18,2025-12-18 11:47:55.806504+00,1715.6,28,18,32,EUR,,true
