settlement_id,group_id,from_user_id,to_user_id,amount,currency,status,note,created_at,paid_at
41,10,14,18,0.50,EUR,open,,2025-11-30 21:14:06.907367,
88,16,37,32,0.40,EUR,paid,,2025-12-02 22:07:50.014994,2025-12-02 22:07:54.447249
92,16,37,32,0.80,EUR,paid,,2025-12-02 22:20:34.897781,2025-12-02 22:20:43.213368
104,16,18,37,0.80,EUR,paid,,2025-12-02 22:27:37.410957,2025-12-02 22:27:42.089061
110,16,18,32,57.43,EUR,paid,,2025-12-02 22:27:54.147133,2025-12-02 22:27:57.652319
130,6,10,11,38.00,EUR,open,,2025-12-06 20:29:44.040359,
131,6,12,11,28.25,EUR,open,,2025-12-06 20:29:44.040359,
132,6,13,11,13.00,EUR,open,,2025-12-06 20:29:44.040359,
133,9,14,18,5.00,EUR,open,,2025-12-08 21:23:52.457256,
164,12,14,18,287.00,EUR,open,,2025-12-08 21:59:13.740704,
169,21,14,34,21.00,EUR,paid,,2025-12-10 15:49:02.878493,2025-12-10 15:49:09.683045
170,22,34,14,81.50,EUR,paid,,2025-12-11 21:23:38.565905,2025-12-11 21:23:51.351905
226,16,18,33,38.93,EUR,paid,,2025-12-15 13:03:41.74869,2025-12-15 13:04:00.732498
248,19,18,33,208.00,EUR,paid,,2025-12-15 16:15:49.617388,2025-12-15 16:16:12.136411
252,19,18,33,275.00,EUR,paid,,2025-12-15 16:25:24.867416,2025-12-15 16:25:43.592229
255,19,18,33,196.67,EUR,paid,,2025-12-15 17:11:30.101237,2025-12-15 17:11:53.200096
258,19,18,33,200.00,EUR,paid,,2025-12-15 17:27:42.469767,2025-12-15 17:28:05.496538
261,19,18,33,321.00,EUR,paid,,2025-12-15 17:52:47.76758,2025-12-15 17:53:12.090948
264,19,18,33,250.00,EUR,paid,,2025-12-15 17:57:43.987003,2025-12-15 17:58:02.283812
269,19,18,33,5.00,EUR,paid,,2025-12-15 18:01:49.253109,2025-12-15 18:02:13.531176
272,19,18,33,3.00,EUR,paid,,2025-12-15 18:06:32.200616,2025-12-15 18:06:55.723821
275,19,18,33,337.50,EUR,paid,,2025-12-15 18:22:26.984377,2025-12-15 18:22:53.74307
280,19,18,33,128.00,EUR,paid,,2025-12-15 18:32:57.259885,2025-12-15 18:33:19.729713
283,19,11,33,218.66,EUR,open,,2025-12-17 11:52:03.959709,
284,19,11,18,64.49,EUR,open,,2025-12-17 11:52:03.959709,
285,16,14,18,100.00,EUR,open,,2025-12-17 11:52:54.573172,
286,16,14,33,3.17,EUR,open,,2025-12-17 11:52:54.573172,
287,16,12,33,71.17,EUR,open,,2025-12-17 11:52:54.573172,
288,16,32,33,62.46,EUR,open,,2025-12-17 11:52:54.573172,
289,16,37,33,73.93,EUR,open,,2025-12-17 11:52:54.573172,
290,27,43,50,13.50,EUR,open,,2025-12-17 17:15:41.998857,
291,27,43,51,63.00,EUR,open,,2025-12-17 17:15:41.998857,
292,27,44,51,44.50,EUR,open,,2025-12-17 17:15:41.998857,
294,28,18,32,1715.60,EUR,paid,,2025-12-18 11:47:48.035329,2025-12-18 11:47:55.806504
297,28,45,32,793.60,EUR,open,,2025-12-18 11:47:56.76361,
298,28,49,32,1475.60,EUR,open,,2025-12-18 11:47:56.76361,
299,28,52,32,219.60,EUR,open,,2025-12-18 11:47:56.76361,
