group_id,name,start_date,end_date,auto_close_on_end,invite_link,currency,created_by_user_id,app_fee_amount,deleted_at,is_active,created_at,join_code,max_members,feedback
6,Test,,,,,EUR,11,,,true,2025-11-13 15:40:37.727198+00,81F185,,
7,Skiweekend,,,,,EUR,14,,,true,2025-11-13 20:29:59.514052+00,8EB59770,,
8,Kroegentocht,,,,,EUR,18,,,true,2025-11-14 22:48:31.76165+00,ECC07875,,
9,Met de trein naar Oostende,,,,,EUR,18,,,true,2025-11-15 22:53:46.648047+00,E23B2258,,
10,Parijs,,,,,EUR,14,,,true,2025-11-16 22:06:38.148404+00,381B87AF,,
11,Ski weekend,,,,,EUR,18,,,true,2025-11-24 23:08:08.01504+00,76BCA567,,
12,Milaan,2025-11-26,2025-11-28,,,EUR,18,,,true,2025-11-25 09:59:00.823747+00,E590CC8F,,
13,Rome,2025-11-26,2025-11-28,,,EUR,18,2,,true,2025-11-25 10:29:12.795345+00,CA5C5961,,
14,Rome2,2025-11-25,2025-11-30,,,EUR,18,2,,true,2025-11-25 10:30:32.349795+00,63184BF8,,
15,testrome,2025-11-25,2025-11-28,,,EUR,18,2,,true,2025-11-25 12:59:03.686328+00,ED8D4C29,,
16,Weekendje Amsterdam,2025-11-29,2026-01-29,,,EUR,14,2,,true,2025-11-29 15:34:48.582955+00,B9C2C703,,
17,1,2025-11-29,2025-12-04,,,EUR,18,2,,true,2025-11-29 21:27:20.588553+00,6DDDA414,,
18,2,2025-11-29,2025-12-05,,,EUR,32,2,,true,2025-11-29 21:31:06.406343+00,CB3EC37E,,
19,Weekend Amsterdam met de Boys,2025-11-30,2025-12-15,,,EUR,33,2,,true,2025-11-30 20:35:23.113609+00,F289D3EB,,
20,Kreta,2025-11-30,2001-02-12,,,EUR,34,2,,true,2025-11-30 20:49:19.714959+00,1840BBEA,,
21,Verjaardag papauski,2025-11-30,2026-02-12,,,EUR,34,2,,true,2025-11-30 20:50:36.175057+00,DBB6A876,,
22,Parijs,2025-12-01,2025-12-22,,,EUR,34,2,,true,2025-12-01 12:03:34.539484+00,DED67522,,
23,Imke,2025-12-01,2025-12-10,,,EUR,14,2,,true,2025-12-01 12:10:22.517893+00,8F195B1C,,
24,pils,2025-12-07,2026-01-30,,,EUR,38,2,,true,2025-12-07 22:41:40.599112+00,58F0689D,,
25,Rome2,2025-12-08,2025-12-08,,,EUR,18,2,,true,2025-12-08 22:28:41.078699+00,5D492B94,,
26,Onkosten Osteopathie,2025-12-09,2026-12-09,,,EUR,39,2,,true,2025-12-09 20:37:43.097893+00,D59F88A7,,
27,Kerstmarkt,2025-12-12,2026-02-27,,,EUR,43,2,,true,2025-12-12 16:54:34.903293+00,2F2C9810,,
28,Boysss,2025-12-17,2045-09-17,,,EUR,45,2,,true,2025-12-17 08:56:37.615414+00,99DB7365,,
29,Carrefourtje,2025-12-18,2025-12-20,,,EUR,46,2,,true,2025-12-17 09:31:43.802118+00,BE3650F8,,
30,Supermarkt,2025-12-17,2025-12-18,,,EUR,11,2,,true,2025-12-17 18:23:22.487101+00,82A0E50F,,
31,Familie,2025-12-18,2040-12-18,,,EUR,53,2,,true,2025-12-18 11:50:08.34116+00,0EFFBBEF,,
